Артикул,Имя,Цена,Валюта,Картинка,Описание,Наличие,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики
SMT2507,100% cинтетический кондиционер металла 2-го поколения SYNTHETIC METAL TREATMENT 2nd GENERATION (SMT2507) 118 мл,481,₴,https://content.rozetka.com.ua/goods/images/big/251174605.png,"<p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>SMT<sup>2</sup></strong> - это полностью (100%) синтетический, негорючий, коррозионно неактивный, нетоксичный, биоразлагаемый антифрикционный кондиционер металла, предназначенный для снижения трения и изнашивания деталей машин. Доставляется в зону трения путем добавления в смазочный материал, спецжидкость или топливо; полностью растворим и не изменяет функциональные физико-химические свойства последних. Механизм кондиционирования основан на известном физическом эффекте изменения структуры и свойств граничного слоя металлов под воздействием определенных активных веществ в условиях высоких температур и давлений, сопровождающих трение и изнашивание. В результате кондиционирования касательное напряжение (трение) поверхности снижается, а нормальное (износостойкость) возрастает.</p><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;"">В состав <strong>SMT<sup>2</sup></strong> входит ноу-хау производителя – компонент TPF (Temperature, Pressure, Friction), который вступает в действие при повышении Температиры, Давления и Трения в зоне контакта между движущимися поверхностями, формируя граничный защитный слой.</p><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>ОТЛИЧИЯ <strong>SMT<sup>2</sup></strong> ОТ АНАЛОГОВ:</strong></p><ul style=""color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><li><span style=""line-height: 1.3em;"">100% синтетический состав, обеспечивающий высокое постоянство свойств</span></li><li><span style=""line-height: 1.3em;"">Отсутствие негативного (загрязняющего, окислительного и др.) воздействия на смазочный материал, спецжидкость или топливо</span></li><li><span style=""line-height: 1.3em;"">Наивысший остаточный эффект (последействие), позволяющий в аварийном режиме эксплуатировать технику без смазочного материала в течение времени, достаточного для принятия мер по ремонту</span></li></ul><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>ЭКСПЛУАТАЦИЯ:</strong></p><ul style=""color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><li><span style=""line-height: 1.3em;"">Увеличение мощности двигателя</span></li><li><span style=""line-height: 1.3em;"">Улучшение приемистости автомобиля</span></li><li><span style=""line-height: 1.3em;"">Увеличение срока службы двигателя и КПП в 2-2,5 раза</span></li></ul><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>ЭКОНОМИЧНОСТЬ:</strong><br>Снижение расхода топлива на 5-10%</p><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>ЭКОЛОГИЧНОСТЬ:</strong><br>Снижение токсичности отработавших газов (по СН и NOx) в среднем на 10 и 20% соответственно</p><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>ПРИМЕНЕНИЕ И РЕКОМЕНДУЕМАЯ КОНЦЕНТРАЦИЯ <strong>SMT<sup>2</sup></strong></strong></p><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><em><strong><strong>SMT<sup>2</sup></strong> добавляется к смазочным материалам:</strong></em></p><ol style=""color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><li><span style=""line-height: 1.3em;""><span style=""text-decoration-line: underline;""><em>Система смазки двигателя:</em></span> 60 мл <strong>SMT<sup>2</sup></strong> на 1 л моторного масла (6%) при первой обработке и 30 мл (3%) при последующих.</span></li><li><span style=""line-height: 1.3em;""><span style=""text-decoration-line: underline;""><em>Трансмиссия:</em></span> 50 мл <strong>SMT<sup>2</sup></strong> на 1 л трансмиссионного масла для МКПП и главных передач (5%). 15 мл SMT2 на 1 л жидкости АКПП (1,5%). Для заливки используйте входящую в комплект насадку с трубкой. Не применяйте для дифференциалов повышенного трения!</span></li><li><span style=""line-height: 1.3em;""><span style=""text-decoration-line: underline;""><em>Двухтактные ДВС с кривошипно-камерной продувкой:</em></span> 30 мл <strong>SMT<sup>2</sup></strong> на 1 л моторного масла (3%), добавляемого к бензину.</span></li><li><span style=""line-height: 1.3em;""><span style=""text-decoration-line: underline;""><em>Подшипниковые узлы:</em></span> 30 мл <strong>SMT<sup>2</sup></strong> на 1 кг смазки (3%).</span></li><li><span style=""line-height: 1.3em;""><span style=""text-decoration-line: underline;""><em>Для бензина и дизельного топлива:</em></span> 20 мл <strong>SMT<sup>2</sup></strong> на 100 л топлива (0,02%).</span></li></ol><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>СФЕРЫ ПРИМЕНЕНИЯ:</strong></p><ul style=""color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><li><span style=""line-height: 1.3em;"">Легковые автомобили</span></li><li><span style=""line-height: 1.3em;"">Грузовики</span></li><li><span style=""line-height: 1.3em;"">Мототранспортные средства</span></li><li><span style=""line-height: 1.3em;"">Катера и гидроциклы</span></li><li><span style=""line-height: 1.3em;"">Малая авиация, авиа- и судомоделирование</span></li><li><span style=""line-height: 1.3em;"">Средства малой механизации</span></li><li><span style=""line-height: 1.3em;"">Металлообработка</span></li><li><span style=""line-height: 1.3em;"">Гладкоствольное и нарезное оружие</span></li><li><span style=""line-height: 1.3em;"">А также: оборудование строительной, легкой и печатной промышленности, компрессоры и насосы, дизельные электрогенераторы, системы кондиционирования и вентиляции, сельхозтехника и др.</span></li></ul><p style=""text-indent: 7px; color: rgb(85, 85, 85); font-family: Helvetica, Arial, sans-serif; font-size: 13px; text-align: justify;""><strong>СОСТАВ:</strong> Синтетические углеводороды, антиоксидант, функциональные добавки (ноу-хау производителя).</p>",+,Бренд,SMT,,,,,,,,,,,Емкость (вес),118 мл,,,,
V492,Освежитель воздуха салона автомобиля K2 CARO 4мл (зеленый чай) V492,39,₴,"https://content.rozetka.com.ua/goods/images/big/255185700.jpg, https://content1.rozetka.com.ua/goods/images/big/255185712.jpg","K2 Caro - освежитель воздуха в элегантном маленьком флаконе с деревянной пробкой. Благодаря специальному аппликатору, 10 уникальных и исключительных ароматов, постепенно и нежно наполняют салон автомобиля. Регулируемая подвеска позволяет повесить ее в любом месте, избегая контакта пробки с любой поверхностью. K2 Caro - это удобный способ освежить интерьер любого автомобиля и любого помещения. Особенности автомобильного освежителя воздуха K2 CARO: • стеклянная бутылка  • крышка из экзотического дерева  • регулируемая по высоте лента  • запорная пробка",+,Бренд,K2,Страна производитель,Польша,,,,,,,,,,,,,,,Дополнительные характеристики,Применение: Подвесные Крепление: Завязки
T1041,Гальмівна рідина K2 DOT 4 500ml (T1041),,,"https://content2.rozetka.com.ua/goods/images/big/240904108.jpg, https://content1.rozetka.com.ua/goods/images/big/240904109.jpg",,False,Бренд,K2,
K403LA,Автохімія K2 POLO COCKPIT 300ml Поліроль д/панелі (лаванда),66,₴,https://content1.rozetka.com.ua/goods/images/big/234379023.jpg,,+,Бренд,K2,
C33017,Воздушный фильтр для автомобиля Mann C33017,,,"https://content.rozetka.com.ua/goods/images/big/249833212.jpg, https://content2.rozetka.com.ua/goods/images/big/249833221.jpg",,False,Бренд,Mann,Страна производитель,Германия,,,,,,,,,,,,,,
C3434,Воздушный фильтр MANN C3434,,,https://content2.rozetka.com.ua/goods/images/big/15792695.jpg,,False,Бренд,Mann,
U LL 1L 5W-30,Мастильні матеріали ULTIMATE LongLife 5W30 1Lx9,283,₴,https://content2.rozetka.com.ua/goods/images/big/225259349.jpg,"API SN/CF, ACEA A3/B4/C3, VW 504.00/507.00, MB 229.31/229.51, BMW LL-04, Porsche C30",+,Бренд,EVO,
GEAROIL EP150 200L,Трансмісійна олива EVO GEAROIL EP 150 200L (GEAROIL EP150 200L),33709,₴,https://content.rozetka.com.ua/goods/images/big/196632698.jpg,"DIN 51517-3 CLP, AGMA 9005-E02, US Steel 224, David Brown S1.53.101(E)",+,Бренд,EVO,
ET3112,Присадка-очиститель инжекторов для бензиновых двигателей K2 TURBO BENZIN 50 мл (ET3112),66,₴,"https://content.rozetka.com.ua/goods/images/big/169387911.jpg, https://content.rozetka.com.ua/goods/images/big/169387913.jpg","Специальная присадка в бензин для очистки инжекторной системы подачи топлива и форсунок в частности. Подходит для всех видов бензиновых силовых агрегатов как новых, так и более старых моделей. Нормализует впрыск топлива, и восстанавливает мощность и приемистость двигателя, устраняет просадки во время работы на холостых оборотах и упрощает холодный пуск в зимний период. Обладает смазывающими свойствами и способствует более стабильной и эффективной работе всех подвижных узлов, в том числе топливного насоса. Также, средство эффективно очищает впускные клапаны, верхнюю часть цилиндров и освобождает поршневые кольца.Преимущества:Универсально подходит для любых бензиновых инжекторных систем подачи топлива.Подходит для автомобилей, оборудованных каталитическими нейтрализаторами.Эффективно очищает форсунки и нормализует впрыск топлива, повышая мощность автомобиля и его динамику разгона.Устраняет посторонний стук во время работы мотора.Нормализует работу на холостом ходу.Способствует быстрому и лёгкому холодному пуску, в том числе в зимний период.Существенно продлевает безотказный срок службы всех элементов системы.Сокращает количество вредных элементов в отработавших газах.Инструкция по применению:Налейте жидкость в топливный бак. Используйте 1 бутылку на 40-80 литров бензина. В случае сильного загрязнения форсунок, этот процесс можно повторить. ВНИМАНИЕ: используйте сразу всю жидкость из контейнера!",+,Бренд,K2,,,Тип,Бензиновый,,,,,,,Емкость (вес),50 мл,,,Консистенция,Жидкость
HYDRAULIC 46 20L,"Мастильні матеріали HYDRAULIC OIL 46, 20L",3247,₴,https://content.rozetka.com.ua/goods/images/big/225259322.jpg,"DIN 51524 Part 2 HLP, ISO-L-FD (HYDRAULIC OIL 10-22), ISO-L-HM (HYDRAULICOIL 32-100), AFNOR NF E 48-603 HM, ISO 11158 HM, ASTM D 6158 HM, Denison HF-0/HF-1/HF-2, Cincinnati Machine P-70, Eaton Brochure 694 for 35VQ25A, GMLS-2, FZG 12,Vickers Vane Pump",+,Бренд,EVO,,,,,,,,,,,,,,,,,"Емкость, л",20
HYDRAULIC 46 200L,"Мастильні матеріали HYDRAULIC OIL 46, 200L",22804,₴,https://content2.rozetka.com.ua/goods/images/big/225259452.jpg,"DIN 51524 Part 2 HLP, ISO-L-FD (HYDRAULIC OIL 10-22), ISO-L-HM (HYDRAULICOIL 32-100), AFNOR NF E 48-603 HM, ISO 11158 HM, ASTM D 6158 HM, Denison HF-0/HF-1/HF-2, Cincinnati Machine P-70, Eaton Brochure 694 for 35VQ25A, GMLS-2, FZG 12,Vickers Vane Pump",+,Бренд,EVO,,,,,,,,,,,,,,,,,"Емкость, л",200
C32003,Воздушный фильтр MANN C32003,332,₴,https://content2.rozetka.com.ua/goods/images/big/15793966.jpg,,-,Бренд,Mann,
K407FA1,Автохімія K2 POLO COCKPIT 750ml Поліроль д/панелі (нове авто),151,₴,https://content.rozetka.com.ua/goods/images/big/232032891.jpg,,+,Бренд,K2,
DW8409,Цветная полироль с полифлоном белая DoctorWax 300 мл,,,https://content2.rozetka.com.ua/goods/images/big/85189197.jpg,,False,Бренд,Doctor Wax,,,Тип,Полироль,,,,,,,,,,,,,Дополнительные характеристики,Гель
C14006,Фильтр воздушный MANN-FILTER C 14006,839,₴,https://content2.rozetka.com.ua/goods/images/big/76577155.jpg,"Фильтр — незаметный, но необходимый элемент для долгой и надежной жизни современного двигателя.Своевременная замена и установка качественного фильтра может обеспечить бесперебойную работу двигателя, продлить срок его эксплуатации и сэкономить Ваши средства.    MANN-FILTER  по праву является лидером среди европейских производителей фильтров. Компания Mann Hummel GmbH поставляет фильтры почти для всех ведущих производителей автомобилей под торговой маркой MANN-FILTER. Продукция компании, предназначенная для автомобилей, грузовиков и спецтехники, отличается высоким качеством в соответствии с мировым стандартом TS 16949.                                   Наружный диаметр [мм]: 139  Высота [мм]: 255",-,Бренд,MANN-FILTER,,,,,,,,,,,,,,,,,Тип запчасти,Оригинал,"Количество в упаковке, шт",1
GEAROIL EP220 200L,Трансмісійна олива EVO GEAROIL EP 220 200L (GEAROIL EP220 200L),34648,₴,https://content1.rozetka.com.ua/goods/images/big/196632619.jpg,"DIN 51517-3 CLP, AGMA 9005-E02, US Steel 224, David Brown S1.53.101(E)",+,Бренд,EVO,,,,,,,,,,,,,,,,,"Емкость, л",200
E9 200L 5W-30,Моторна олива EVO E9 5W-30 SN/CF 200L (E9 200L 5W-30),32204,₴,https://content2.rozetka.com.ua/goods/images/big/199448920.jpg,"API SN/CF, ACEA A3/B4/C3, MB 229.31, VW 502.00/505.00, BMW LL-04, GM Dexos2",+,Бренд,EVO,,,,,,,,,,,,,,,,,"Емкость, л",200
B405N,Змазка високотемпературна для суппортів K2 SYNTHETIC GREASE 18ml (B405N),35,₴,"https://content2.rozetka.com.ua/goods/images/big/216428206.jpg, https://content2.rozetka.com.ua/goods/images/big/216428212.jpg",Змазка високотемпературна для суппортів K2 SYNTHETIC GREASE 18ml (B405N),+,Бренд,K2,
U I 1L 0W-40,Мастильні матеріали ULTIMATE Iconic 0W40 1Lx9,333,₴,https://content1.rozetka.com.ua/goods/images/big/225259118.jpg,"API SN/CF, ACEA A3/B4, MB 229.3/229.5, VW 502.00/505.00, BMW LL-01, GM-LL-A-025/GM-LL-B-025, RN 710, Porsche A40",+,Бренд,EVO,
V456,Автохімія K2 VENTO освіжувач повітря салона 8 мл (нове авто),50,₴,https://content.rozetka.com.ua/goods/images/big/234378803.jpg,,+,Бренд,K2,
K511,Автохімія K2 VIZIO PLUS 200ml Очищувач скла - “антидощ” (аерозоль),63,₴,https://content2.rozetka.com.ua/goods/images/big/232033560.jpg,К511 - код в прайсе 2009 (К161 - отсутствует),-,Бренд,K2,
L3050,Автохімія K2 LAMP DOCTOR 60g Паста для ремонту фар,100,₴,https://content1.rozetka.com.ua/goods/images/big/234378799.jpg,,+,Бренд,K2,
K406WI,Поліроль д/панелі (вишня) K2 POLO COCKPIT 600ml (K406WI),92,₴,"https://content1.rozetka.com.ua/goods/images/big/216429709.jpg, https://content.rozetka.com.ua/goods/images/big/216429714.jpg",Поліроль д/панелі (вишня) K2 POLO COCKPIT 600ml  (K406WI),+,Бренд,K2,
