Артикул,Имя,Цена,Валюта,Картинка,Описание,Наличие,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики
K413,Поліроль панелі приладів (аерозоль) K2 POLO PROTECTANT 300ml (K413),53,₴,"https://content.rozetka.com.ua/goods/images/big/216429503.jpg, https://content.rozetka.com.ua/goods/images/big/216429508.jpg",Поліроль панелі приладів (аерозоль) K2 POLO PROTECTANT 300ml (K413),+,Бренд,K2,
E0725,Автохімія K2 07 250ml Багатофункціональний препарат х24,86,₴,https://content1.rozetka.com.ua/goods/images/big/232033125.jpg,"Багафункціональний препарат.Змащує та консервує без необхідності демонтажу.Універсальний засіб для чистки (розчиняє дрібні забруднення від мастила, гуми, клею), змащення (петлі, замки), усунення води із запалювальних систем, розмороження, захисту від корозії,ліквідує скрипіння.Можна використовувати на будь-яких поверхнях, окрім полікарбонатів і чистого полістирену.
К2 07 безпечний для металу, гуми, дерева, пластика, його можна наносити на пофарбовані металеві поверхні без будь-якої шкоди для фарби. К2 07 є ефективним при очищенні інструментів, обладнання і транспортних засобів.",+,Бренд,K2,
MG-X 75W-90 10L,Трансмиссионное масло EVO MG-X 75W-90 10 л,1865,₴,https://content2.rozetka.com.ua/goods/images/big/248523884.jpg,"EVO MG-X 75W90 – полусинтетическое трансмиссионное масло высшего качества, созданное с использованием высококачественных базовых масел и многофункционального пакета присадок, носителем для которого является тщательно подобранная смесь синтетических базовых масел.
ПрименениеEVO MG-X 75W90 – это универсальное всесезонное трансмиссионное масло предназначено для смазки ведущих мостов, механических коробок передач, коробок отбора мощности и вспомогательных редукторов, установленных на большинстве современных переднеприводных автомобилях, где требуется трансмиссионное масло класса API GL-4/GL-5.
Преимущества

Защищает от трения в коробках передач благодаря эффективному масляному слою при всех дорожных условиях и внезапных нагрузках;
Облегчает переключение передач благодаря соответствующей вязкости в холодных погодных условиях;
Высокая стойкость к окислению при высоких температурах и оптимальная термальная стабильность;
Повышает эффективность системы благодаря предотвращению образования коррозии, осадка, ржавчины и пены;
Увеличивает интервалы замены масла благодаря высокому индексу вязкости.",-,Бренд,EVO,Страна производитель,Германия,,,,,,,,,,,,,,,Вязкость по SAE,75W-90,"Емкость, л",10,Тип основы масла,Полусинтетическое,Допуски ОЕМ,"MAN 341 Type Z1, Scania STO 1:0, ZF TE-ML 05A, ZF TE-ML 07A, ZF TE-ML 16B, ZF TE-ML 17A",Категория,Легковые,Спецификации API,GL-4/GL-5,Сертификаты и заключения,Подробнее
HG7008,10-минутная промывка автоматической КПП с ER Hi-Gear HG7008,186,₴,https://content2.rozetka.com.ua/goods/images/big/7704913.jpg,"Безопасный моющий состав с синтетическим кондиционером металла ER обладает сверхвысокой очищающей способностью и обеспечивает эффективную защиту деталей АКПП от трения и повреждения абразивными частицами смываемых загрязнений. В трансмиссионной жидкости, как и в моторном масле, содержатся моющие присадки, которые утрачивают свои свойства по мере эксплуатации, вследствие чего в радиаторе АКПП и гидротрансформаторе образуются загрязнения и углеродистые отложения. При смене свежая трансмиссионная жидкость начинает активно смывать и растворять загрязнения, оставшиеся внутри гидравлической системы. В результате жидкость быстро теряет свои защитные свойства, а смытые отложения в виде взвеси забивают новый фильтр. Использование промывочного состава при смене трансмиссионной жидкости позволяет быстро и безопасно устранить загрязнения, значительно продлить срок службы свежей трансмиссионной жидкости и улучшить режим работы трансмиссии.  НАЗНАЧЕНИЕ: добавляется в трансмиссионную жидкость перед ее сменой.  ДЕЙСТВИЕ: препарат мягко и безопасно растворяет и удаляет большинство загрязнений и отложений из АКПП, что позволяет:   восстановить четкость переключения передач и плавность работы АКПП; продлить срок службы трансмиссионной жидкости; увеличить срок службы АКПП в 1,5–2 раза;   СОВМЕСТИМОСТЬ: безопасна для всех типов автоматических коробок передач и всех применяемых в них материалов.",-,Бренд,Hi-Gear,,,,,,,,,,,,,Объем,444 мл,,
E3 1L 15W-40,Аккумулятор PowerPlant для Toshiba Satellite L750 (PA3817U-1BRS) (10.8V/8800mAh/12Cells) (NB00000310),1499,₴,"https://content2.rozetka.com.ua/goods/images/big/50838509.jpg, https://content2.rozetka.com.ua/goods/images/big/50838560.jpg","Аккумуляторная батарея — самая важная часть ноутбука, которая обеспечивает вам мобильность, и возможность оставаться всегда в сети. Оригинальные элементы фирмы Samsung только наилучшего качества и добротная сборка гарантируют вам долговременный срок работы аккумулятора, длительное время работы, и достойную замену оригинальной АКБ. Надежный адаптер переменного тока дает возможность без перебоев одновременно заряжать батарею и работать с устройством. Аккумуляторы PowerPlant проходят 16 этапов теста по различным критериям. Преимуществами выбора наших батарей являются отсутствие ""эффекта памяти"", низкий уровень саморазряда, и способность к быстрой перезарядке.",+,,,,,Тип,Литий-ионный,Гарантия,12 месяцев,,,,,,,,,,,Совместимость,Toshiba,"Емкость, мА*ч",8800,"Напряжение, В",10.8,"Количество ячеек, шт",12,Альтернативные парт-номера,"TOSHIBA 
PA3817u-1BAS
PA3817u-1BRS
PA3818u 
PA3819u",Подходит для,"TOSHIBA 
Dynabook B351/W2CE	Dynabook B351/W2JE	Dynabook B351/W2ME 
Dynabook Qosmio T550/T4BB	Dynabook Qosmio T550/T4BW	Dynabook Qosmio T560/T4AB 
Dynabook Qosmio T560/T4AW	Dynabook SS M50 200C/3W	Dynabook SS M50 226E/3W 
Dynabook SS M51 216C/3W	Dynabook SS M51 240E/3W	Dynabook SS M52 220C/3W 
Dynabook SS M52 253E/3W	Dynabook SS M60 220C/3W	Dynabook SS M60 253E/3W 
Dynabook Satellite B241/W2CE	Dynabook Satellite B350(PB350BENR2A31)	Dynabook Satellite B350(PB350BFNR2A31) 
Dynabook Satellite B371/C	Dynabook Satellite T551	Dynabook Satellite T571 
Dynabook T350/34BB	Dynabook T350/34BR	Dynabook T350/34BW 
Dynabook T350/46BB	Dynabook T350/46BR	Dynabook T350/46BW 
Dynabook T350/56BB	Dynabook T350/56BR	Dynabook T350/56BW 
Dynabook T550/D8AB	Dynabook T551-58B	Dynabook T551-58BB 
Dynabook T551-58BW	Dynabook T551-D8B	Dynabook T551/58CB 
Dynabook T551/58CW	Dynabook T551/T4CB	Dynabook T551/T4CW 
Dynabook T551/T5CB	Dynabook T551/T6CB	Dynabook T560/58AB 
Dynabook T560/58AW	Equium U400	Equium U400-124 
Equium U400-145Equium U400-146	Mini NB510 
Mini NB510-10D	Mini NB510-10R	Mini NB510-119 
Mini NB510-11E	Mini NB510-11G	Mini NB510-11H 
Mini NB510-11J	Portege M800	Portege M800 -11J 
Portege M800-101	Portege M800-105	Portege M800-106 
Portege M800-107	Portege M800-10A	Portege M800-10C 
Portege M800-10D	Portege M800-10N	Portege M800-10V 
Portege M800-10W	Portege M800-113	Portege M800-116 
Portege M800-11B	Portege M800-11F	Portege M800-11G 
Portege M800-701	Portege M801	Portege M802 
Portege M803	Portege M805	Portege M806 
Portege M807	Portege M808	Portege M810 
Portege M819	Portege M820	Portege M821 
Portege M822	Portege M823	Portege M825 
Portege M830	Portege M862	Portege M900 
Portege M901	Portege M903	Portege M905 
Portege M906	Portege M907	Portege M908 
Portege M909	Portege M910	Portege M911 
Portege M915	Portege M916	Satellit Pro C650-00L 
Satellite A655	Satellite A655-10013D	Satellite A655-S6050 
Satellite A655-S6054	Satellite A655-S6055	Satellite A655-S6056 
Satellite A655-S6057	Satellite A655-S6058	Satellite A655-S6065 
Satellite A655-S6067	Satellite A655-S6070	Satellite A660 
Satellite A660-01S	Satellite A660-042	Satellite A660-07P 
Satellite A660-07R	Satellite A660-07T	Satellite A660-07U 
Satellite A660-0QE	Satellite A660-0T4	Satellite A660-0T4 3D 
Satellite A660-0TK	Satellite A660-0YD	Satellite A660-11M 
Satellite A660-12D	Satellite A660-12E	Satellite A660-12Q 
Satellite A660-12T	Satellite A660-135	Satellite A660-148 
Satellite A660-149	Satellite A660-14C	Satellite A660-14L 
Satellite A660-151	Satellite A660-155	Satellite A660-15E 
Satellite A660-15J	Satellite A660-15P	Satellite A660-15T 
Satellite A660-160	Satellite A660-17E	Satellite A660-17H 
Satellite A660-17T	Satellite A660-184	Satellite A660-18N 
Satellite A660-1DW	Satellite A660-1DZ	Satellite A660-1EG 
Satellite A660-1F4	Satellite A660-1F5	Satellite A660-1FH 
Satellite A660-1FL	Satellite A660-1FM	Satellite A660-1H6 
Satellite A660-1H7	Satellite A660-BT2G22	Satellite A660-BT2G23 
Satellite A660-BT2G25	Satellite A660-BT2N01	Satellite A660-BT2N22 
Satellite A660-BT2N23	Satellite A660-BT2N25	Satellite A660-BT3G25X 
Satellite A660-BT3N25X	Satellite A660-ST2GX1	Satellite A660-ST2N01 
Satellite A660-ST2N02	Satellite A660-ST2N03	Satellite A660-ST2NX2 
Satellite A660-ST3N01X	Satellite A660-ST3NX1	Satellite A660-ST3NX2X 
Satellite A660-ST5N01	Satellite A660/07S	Satellite A660D 
Satellite A660D-BT2G01	Satellite A660D-BT2N22	Satellite A660D-BT2N23 
Satellite A660D-BT2NX2	Satellite A660D-ST2G01	Satellite A660D-ST2G02 
Satellite A660D-ST2NX2	Satellite A665	Satellite A665-11Z 
Satellite A665-14Q	Satellite A665-14R	Satellite A665-3DV 
Satellite A665-3DV1	Satellite A665-3DV10X	Satellite A665-3DV11X 
Satellite A665-3DV12X	Satellite A665-3DV5	Satellite A665-3DV6 
Satellite A665-3DV7	Satellite A665-3DV8	Satellite A665-S5170 
Satellite A665-S5171	Satellite A665-S5173	Satellite A665-S5176X 
Satellite A665-S5177X	Satellite A665-S5179	Satellite A665-S5180 
Satellite A665-S5181	Satellite A665-S5182X	Satellite A665-S5183X 
Satellite A665-S5184X	Satellite A665-S5185	Satellite A665-S5186 
Satellite A665-S5187X	Satellite A665-S5199X	Satellite A665-S60100X 
Satellite A665-S6050	Satellite A665-S6054	Satellite A665-S6055 
Satellite A665-S6056	Satellite A665-S6057	Satellite A665-S6058 
Satellite A665-S6065	Satellite A665-S6067	Satellite A665-S6070 
Satellite A665-S6079	Satellite A665-S6080	Satellite A665-S6081 
Satellite A665-S6085	Satellite A665-S6086	Satellite A665-S6087 
Satellite A665-S6088	Satellite A665-S6089	Satellite A665-S6090 
Satellite A665-S6092	Satellite A665-S6093	Satellite A665-S6094 
Satellite A665-S6095	Satellite A665-S6097	Satellite A665-S6098 
Satellite A665D	Satellite A665D-S5172	Satellite A665D-S5174 
Satellite A665D-S5175	Satellite A665D-S5178	Satellite A665D-S6051 
Satellite A665D-S6059	Satellite A665D-S6075	Satellite A665D-S6076 
Satellite A665D-S6082	Satellite A665D-S6083	Satellite A665D-S6084 
Satellite A665D-S6091	Satellite A665D-S6096	Satellite C600 
Satellite C600D	Satellite C640	Satellite C640D 
